v_35;v_38;v_45;v_44
3;2;120;115
5;4;50;25
4;3;40;30
8;1;80;80
2;1;20;20
10;2;70;60
3;2;5;2
7;1;200;200
7;3;60;45
6;1;10;10
5;2;4;2
5;2;40;25
3;1;30;30
5;3;100;10
1;1;90;90
10;1;0;25
5;1;10;15
3;2;12;8
4;2;20;19
5;3;20;20
21;2;11;10
3;2;90;50
6;1;40;40
5;1;60;60
3;2;65;30
2;1;15;15
2;1;20;20
6;2;60;10
5;1;80;80
4;2;NA;NA
2;1;220;220
10;1;40;40
3;3;40;20
5;2;6;4
3;1;25;25
2;2;40;39
5;1;120;120
1;3;140;30
3;3;33;30
9;1;230;230
8;1;70;70
5;3;80;50
5;2;100;80
3;1;4;4
3;2;40;10
9;2;40;30
4;2;40;38
5;2;40;10
12;3;60;35
4;4;40;10
NA;1;99;99
1;2;22;20
0;1;40;40
12;3;30;175
8;1;40;40
5;3;100;60
5;1;5;5
2;1;35;35
3;1;80;80
5;1;30;30
99;1;99;99
8;1;0;13
4;1;30;30
8;1;80;80
4;1;NA;NA
6;2;30;25
5;2;12;8
1;1;4;4
4;1;80;80
4;3;30;15
2;1;8;8
3;1;30;30
3;1;30;30
10;3;30;28
3;2;300;200
0;4;150;130
5;1;60;60
3;1;60;60
3;2;15;8
5;1;100;100
2;99;40;4
2;1;0;70
5;2;50;45
1;1;100;100
5;2;10;3
3;1;7;7
5;1;80;80
3;3;120;30
5;2;60;59
8;2;60;50
4;1;5;5
6;2;44;40
4;2;5;2
7;1;80;80
5;1;5;5
8;3;300;250
10;1;100;100
2;3;20;10
2;3;10;5
8;2;20;16
