id	Aktiviert	Position	Breite	Ausrichtung	Ext. Variablenname	Beschreibung	Quantum-Tabellenname	Fragetyp	Int. Variablenname	Datentyp
1	Ja	1	11	Links	lfdn	number	lfdn	-	lfdn	Ganzzahl
2	Ja	12	11	Links	external_lfdn	external lfdn	external_lfdn	-	external_lfdn	Ganzzahl
3	Ja	23	11	Links	tester	tester	tester	-	tester	Ganzzahl
4	Ja	34	11	Links	dispcode	disposition code	status	-	status	Ganzzahl
5	Ja	45	255	Links	lastpage	last page	last_page	-	last_page	Text
6	Ja	300	15	Links	quality	quality	quality	-	quality	Kommazahl
7	Ja	315	11	Links	duration	time to complete survey	time_to_complete_survey	-	time_to_complete_survey	Ganzzahl
8	Ja	326	255	Links	v_1	Textfeld einzeilig	v_1	141	v_1	Text
9	Ja	581	11	Links	v_2	Mehrfachauswahl untereinander	v_2	111	v_2	Ganzzahl
10	Ja	592	11	Links	v_7	Mehrfachauswahl untereinander	v_7	111	v_7	Ganzzahl
11	Ja	603	11	Links	v_12	Mehrfachauswahl untereinander	v_12	111	v_12	Ganzzahl
12	Ja	614	11	Links	v_17	Mehrfachauswahl untereinander	v_17	111	v_17	Ganzzahl
13	Ja	625	11	Links	v_22	Mehrfachauswahl untereinander	v_22	111	v_22	Ganzzahl
14	Ja	636	255	Links	v_35	Textfeld einzeilig	v_35	141	v_35	Text
15	Ja	891	11	Links	v_37	Einfachauswahl untereinander	v_37	111	v_37	Ganzzahl
16	Ja	902	255	Links	v_38	Textfeld einzeilig	v_38	141	v_38	Text
17	Ja	1157	11	Links	v_39	Mehrfachauswahl untereinander	v_39	111	v_39	Ganzzahl
18	Ja	1168	255	Links	v_45	Textfeld einzeilig	v_45	141	v_45	Text
19	Ja	1423	255	Links	v_44	Textfeld einzeilig	v_44	141	v_44	Text
20	Ja	1678	11	Links	v_46	Mehrfachauswahl untereinander	v_46	111	v_46	Ganzzahl
21	Ja	1689	11	Links	v_52	Einfachauswahl untereinander	v_52	111	v_52	Ganzzahl
22	Ja	1700	11	Links	v_53	Mehrfachauswahl untereinander	v_53	111	v_53	Ganzzahl
23	Ja	1711	11	Links	v_203	Mehrfachauswahl untereinander	v_203	111	v_203	Ganzzahl
24	Ja	1722	11	Links	v_175	meine Arbeit interessant und abwechlungsreich ist.	v_175	311	v_175	Ganzzahl
25	Ja	1733	11	Links	v_176	ich in meiner Arbeit immer wieder neues dazulerne.	v_176	311	v_176	Ganzzahl
26	Ja	1744	11	Links	v_177	ich mit anderen Leuten zusammenarbeite.	v_177	311	v_177	Ganzzahl
27	Ja	1755	11	Links	v_178	ich in schwierigen Situationen angemessene Unterstützung erhalte.	v_178	311	v_178	Ganzzahl
28	Ja	1766	11	Links	v_179	ich genau weiß, was von mir bei der Arbeit erwartet wird.	v_179	311	v_179	Ganzzahl
29	Ja	1777	11	Links	v_180	ich mitentscheiden kann, welche Aufgaben ich erfülle.	v_180	311	v_180	Ganzzahl
